"Country","soilQuality"
"AUT",6.38635419528107
"BEL",7.68469761083647
"BGR",6.07433411055914
"HRV",6.35313887990569
"CYP",2.74179299971753
"CZE",7.33465042911579
"DNK",7.09386927155892
"EST",6.18477134174259
"FIN",6.60483718578623
"FRA",7.08841543487245
"DEU",6.73665260675145
"GRC",4.84191080272662
"HUN",6.09989349581902
"IRL",6.87461356549323
"ITA",5.77560990240654
"LVA",5.5466698287126
"LTU",5.50511832278433
"LUX",6.17842707311476
"MLT",0
"NLD",6.70205079213663
"POL",6.54645571537326
"PRT",4.95352972633373
"ROU",6.68224776655362
"SVK",6.1749019239935
"SVN",5.55911593629979
"ESP",4.61030148652321
"SWE",7.0698622205123
"GBR",7.34240259708404
