"Country","timePeriod","fertilizer","irrigation"
"Austria",1978,97.097952196792,0.84
"Austria",1988,85.3992294406802,2.73
"Austria",1998,91.6921325650196,3.497
"Austria",2008,71.7711103723404,4.15555555555556
"Belgium",1998,171.497608325248,1.90375
"Belgium",2008,194.72926966754,1.57666666666667
"Belgium",1978,246.019106699752,1.01
"Belgium",1988,210.040255742363,1.5
"Bulgaria",1978,114.521685967057,19.503
"Bulgaria",1988,67.1486772238147,16.886
"Bulgaria",1998,54.2405895184294,6.771
"Bulgaria",2008,84.7964312364626,2.40333333333333
"Croatia",1988,92.813431796015,0.0983333333333333
"Croatia",1998,135.513280616383,0.637
"Croatia",2008,119.628167821808,1.69111111111111
"Cyprus",1978,59.0905857244487,17.624
"Cyprus",1988,88.1886037987338,24.745
"Cyprus",1998,56.811946753159,29.098
"Cyprus",2008,63.9004531491083,39.6022222222222
"Czechia",1988,69.0758223488897,0.836
"Czechia",1998,69.4946109597336,0.966
"Czechia",2008,107.175385253265,0.862222222222222
"Slovakia",1978,124.450586620794,2.623
"Denmark",1978,146.873802281369,13.721
"Denmark",1988,136.492929292929,16.458
"Denmark",1998,89.8841708868978,16.795
"Denmark",2008,82.9695926633383,14.7022222222222
"Estonia",1988,25.8936206601676,0.171666666666667
"Estonia",1998,32.076477913706,0.157
"Estonia",2008,51.394155974184,0.112222222222222
"Finland",1978,86.1116381697282,2.198
"Finland",1988,83.9994452050504,3.243
"Finland",1998,78.2884968612213,3.938
"Finland",2008,70.7520327914038,3.40666666666667
"France",1978,119.648161439206,4.68
"France",1988,127.477807834468,7.447
"France",1998,120.653020401076,9.028
"France",2008,108.617866758106,9.60111111111111
"Germany",1978,176.998877665544,2.533
"Germany",1988,153.665168855457,2.765
"Germany",1998,150.491037434575,2.948
"Germany",2008,137.352081484369,3.96
"Greece",1978,99.440350877193,11.152
"Greece",1988,93.8418438813192,13.367
"Greece",1998,63.6045870837379,17.691
"Greece",2008,51.1656432997896,21.0588888888889
"Hungary",1978,111.084771277497,2.669
"Hungary",1988,64.6651947950451,3.34
"Hungary",1998,62.1487807897017,3.434
"Hungary",2008,71.2867155770994,3.40666666666667
"Italy",1978,83.346894447834,20.161
"Italy",1988,77.0711486545328,23.194
"Italy",1998,77.4977221489443,25.958
"Italy",2008,61.6691689551368,28.7166666666667
"Latvia",1988,22.4826596508012,0.025
"Latvia",1998,34.6788362806617,0.05
"Latvia",2008,54.6674080481074,0.0411111111111111
"Lithuania",1988,21.785464709993,0.356666666666667
"Lithuania",1998,24.1844213074603,0.211
"Lithuania",2008,54.894047063773,0.148888888888889
"Malta",1978,38.0227272727273,7.58
"Malta",1988,69.130081300813,10.11
"Malta",1998,65.0945378151261,24.517
"Malta",2008,175.048708048708,36.5477777777778
"Netherlands",1978,571.195494099416,23.968
"Netherlands",1988,432.238193914276,19.906
"Netherlands",1998,293.649351160822,21.658
"Netherlands",2008,215.141440271954,26.6455555555556
"Poland",1978,87.5700049055513,1.806
"Poland",1988,64.1759304209886,1.307
"Poland",1998,69.550025431589,0.622
"Poland",2008,95.1581250759799,0.864444444444444
"Portugal",1978,44.443018676153,21.769
"Portugal",1988,45.5495798319328,21.555
"Portugal",1998,51.3900889096412,18.172
"Portugal",2008,58.0741724204737,14.9466666666667
"Romania",1978,76.4030370735032,17.297
"Romania",1988,42.4378332585837,21.166
"Romania",1998,26.2680698556069,21.741
"Romania",2008,34.4505998244416,22.8333333333333
"Slovakia",1988,44.3034001743679,8.652
"Slovakia",1998,54.8848735507492,8.44
"Slovakia",2008,76.771949693675,5.02
"Slovenia",1988,165.245768947756,0.37
"Slovenia",1998,159.696252465483,0.917
"Slovenia",2008,114.569764393478,1.11
"Spain",1978,44.8920742483864,10.106
"Spain",1988,51.6567567979128,11.501
"Spain",1998,59.9547582770777,12.892
"Spain",2008,54.4051730242329,14.1311111111111
"Sweden",1978,84.5958667028641,2.329
"Sweden",1988,74.7364070405473,3.486
"Sweden",1998,67.0579177797566,4.965
"Sweden",2008,66.4340670127998,5.17777777777778
"United Kingdom",1978,209.528168309043,0.803
"United Kingdom",1988,216.169181285641,0.883
"United Kingdom",1998,188.588659411745,1.3
"United Kingdom",2008,166.075122277106,0.696666666666667
"Czechia",1978,124.450586620794,2.623
