"Country","soilDiversity"
"AT",7.77557849178939
"BE",5.48420873078329
"BG",5.56005832133946
"CY",4.29630117189715
"CZ",3.99928762471064
"DE",8.94044908151958
"DK",4.99114099533632
"EE",1.99674087715111
"ES",6.80877176433698
"FI",3.45554410712864
"FR",7.80022454548573
"GB",9.90754929269706
"GR",4.2585847033193
"HR",9.55283349933489
"HU",13.407361224339
"IE",4.47578885729967
"IT",7.27655298903304
"LT",1.88387675788061
"LU",2.81273060380312
"LV",1.62249638661585
"MT",1
"NL",5.86439103357467
"PL",9.83392101237782
"PT",9.59553624970826
"RO",11.0705915783408
"SE",3.29315636795299
"SI",5.09054523314943
"SK",9.52155850445015
