"Country","Year","meanTemp"
"AT","1961",8.46110167019989
"BE","1961",10.0940027970741
"BG","1961",11.2320717157493
"CY","1961",18.5497002229988
"CZ","1961",7.9702240414608
"DE","1961",9.25844963495933
"DK","1961",8.52137089513761
"EE","1961",6.33085208355767
"ES","1961",14.2574512344268
"FI","1961",4.62058466983127
"FR","1961",11.480165709005
"GB","1961",9.36158009865067
"GR","1961",14.7368051757008
"HR","1961",11.6748188382816
"HU","1961",11.1258245433125
"IE","1961",9.37365955726673
"IT","1961",13.9792378285705
"LT","1961",7.25421065841059
"LU","1961",9.15491516708198
"LV","1961",6.68454129890445
"MT","1961",0
"NL","1961",10.1037394735986
"PL","1961",8.42748556181433
"PT","1961",16.0279356814296
"RO","1961",10.064938256321
"SE","1961",6.69652807573296
"SI","1961",9.44813258332887
"SK","1961",8.87100845384254
"AT","1962",6.81353033090304
"BE","1962",8.20815028574752
"BG","1962",11.1471143120579
"CY","1962",19.3119303642703
"CZ","1962",6.36070766554036
"DE","1962",7.41829429607796
"DK","1962",7.10033791711234
"EE","1962",4.47227527459016
"ES","1962",13.4718271879697
"FI","1962",2.5112324150976
"FR","1962",9.81921668838112
"GB","1962",8.09832822650979
"GR","1962",14.7644569184091
"HR","1962",10.1025094040777
"HU","1962",9.78916217641801
"IE","1962",8.60562872376518
"IT","1962",13.1681009268801
"LT","1962",5.60229923588862
"LU","1962",7.33615264883953
"LV","1962",5.00195478785837
"MT","1962",0
"NL","1962",8.27693116246969
"PL","1962",6.8760408847266
"PT","1962",15.2515670668357
"RO","1962",9.51939470789333
"SE","1962",4.70477434625613
"SI","1962",7.75884691880621
"SK","1962",7.48382245369327
"AT","1963",6.97382812497697
"BE","1963",7.95306834217545
"BG","1963",10.6098383920292
"CY","1963",19.1172661135237
"CZ","1963",6.43331695357226
"DE","1963",7.30414940209512
"DK","1963",6.72005440559704
"EE","1963",3.962500021719
"ES","1963",12.990111381052
"FI","1963",2.58977032873702
"FR","1963",9.39807928237207
"GB","1963",7.93571655582418
"GR","1963",14.644058683901
"HR","1963",10.2110976690843
"HU","1963",9.74723961132175
"IE","1963",8.36398280826381
"IT","1963",13.0451196535913
"LT","1963",5.3898954973428
"LU","1963",7.19650693883201
"LV","1963",4.54582108026373
"MT","1963",0
"NL","1963",7.92030078848198
"PL","1963",6.55417901696755
"PT","1963",14.8852202654136
"RO","1963",9.21089265960725
"SE","1963",4.75082715480391
"SI","1963",7.94773575189123
"SK","1963",7.53750603115456
"AT","1964",7.4010926207061
"BE","1964",9.20596235682421
"BG","1964",10.3951610137375
"CY","1964",18.1658872114383
"CZ","1964",7.09328959370001
"DE","1964",8.31479031639948
"DK","1964",7.55598562352074
"EE","1964",4.88001873004721
"ES","1964",13.6272187704424
"FI","1964",3.21379184637314
"FR","1964",10.5060630996154
"GB","1964",8.9137623450396
"GR","1964",13.7976352975474
"HR","1964",10.2041063248007
"HU","1964",9.68180976493411
"IE","1964",9.36372478105137
"IT","1964",13.3372892884133
"LT","1964",5.80870737667524
"LU","1964",8.46858786355087
"LV","1964",5.33955272795998
"MT","1964",0
"NL","1964",9.26859200291234
"PL","1964",7.11732789257367
"PT","1964",15.4512998319325
"RO","1964",9.04248610834091
"SE","1964",5.70603322770683
"SI","1964",8.20585900306159
"SK","1964",7.69289244953003
"AT","1965",6.90040760160976
"BE","1965",8.63026498124455
"BG","1965",10.3176349987836
"CY","1965",18.4510792153631
"CZ","1965",6.53697542250014
"DE","1965",7.7757242847299
"DK","1965",7.06920308279119
"EE","1965",4.2094943586416
"ES","1965",13.2582088033005
"FI","1965",2.53393578970603
"FR","1965",10.0353620179621
"GB","1965",8.36064532694263
"GR","1965",13.7521779234069
"HR","1965",10.2203032563076
"HU","1965",9.48390675230959
"IE","1965",8.63052195844065
"IT","1965",12.8801801703842
"LT","1965",5.21480748911395
"LU","1965",7.69191613107615
"LV","1965",4.53593701158428
"MT","1965",0
"NL","1965",8.83078182417523
"PL","1965",6.1910091613503
"PT","1965",14.9846128954793
"RO","1965",8.83624730263319
"SE","1965",4.71367726702486
"SI","1965",7.85639588019692
"SK","1965",7.0230555966213
"AT","1966",8.26785553469233
"BE","1966",9.48024752286342
"BG","1966",11.7399374676587
"CY","1966",19.1087529419137
"CZ","1966",8.04285793405067
"DE","1966",8.78590000706271
"DK","1966",7.27188432377995
"EE","1966",3.79472847403645
"ES","1966",13.500052579207
"FI","1966",1.53189794751544
"FR","1966",10.8599211980808
"GB","1966",8.88005465832224
"GR","1966",14.877123206306
"HR","1966",11.3276637370868
"HU","1966",10.9582361962882
"IE","1966",9.25583926268885
"IT","1966",13.3873307373082
"LT","1966",6.04699946004299
"LU","1966",8.74772950476352
"LV","1966",4.96613206614601
"MT","1966",0
"NL","1966",9.56482325084089
"PL","1966",8.11871511798816
"PT","1966",15.2542436183136
"RO","1966",10.385777898433
"SE","1966",4.53631910732622
"SI","1966",9.11024741707396
"SK","1966",8.79152175764945
"AT","1967",8.35118886046626
"BE","1967",9.6232479216162
"BG","1967",10.7687666244418
"CY","1967",17.8622901776998
"CZ","1967",8.22039890406745
"DE","1967",9.18649992282951
"DK","1967",8.54254871648186
"EE","1967",5.20476592640822
"ES","1967",13.2271239796997
"FI","1967",3.36947275386238
"FR","1967",10.6578227902231
"GB","1967",9.10554491630167
"GR","1967",13.9422772102576
"HR","1967",11.0982084975483
"HU","1967",10.7719315804078
"IE","1967",9.10942467930478
"IT","1967",13.4537804431588
"LT","1967",6.87020352716723
"LU","1967",8.69718055544559
"LV","1967",5.97069050215241
