"Region","Year","meanTemp"
"AT11","1961",10.3658729735492
"AT12","1961",8.9912641312867
"AT13","1961",9.45321275539187
"AT21","1961",7.61851853347487
"AT22","1961",8.04082972147221
"AT31","1961",8.55613197174614
"AT32","1961",5.89975175637725
"AT33","1961",5.90663581863506
"AT34","1961",5.41132074154023
"BE10","1961",11.0166666905085
"BE21","1961",10.6344807100426
"BE22","1961",10.3991421878922
"BE23","1961",10.8968814818791
"BE24","1961",10.7414514814649
"BE25","1961",10.4717002618144
"BE31","1961",10.8147265000675
"BE32","1961",10.2925659204058
"BE33","1961",9.43327425349683
"BE34","1961",8.58447488796255
"BE35","1961",9.36792768893099
"BG31","1961",11.6165674996806
"BG32","1961",11.3084274886289
"BG33","1961",11.5030409659444
"BG34","1961",11.7166342886713
"BG41","1961",8.11247206884759
"BG42","1961",11.6993559616081
"CY","1961",18.5497002229988
"CZ01","1961",9.26374262137679
"CZ02","1961",8.5765776286824
"CZ03","1961",7.6894800346454
"CZ04","1961",8.29442146670884
"CZ05","1961",7.45945754673579
"CZ06","1961",7.92061867164376
"CZ07","1961",8.12295296493351
"CZ08","1961",8.15738558685586
"DE1","1961",9.57713080605342
"DE2","1961",8.66425101484599
"DE4","1961",9.47412830375452
"DE5","1961",9.28615102005659
"DE6","1961",9.17641510837858
"DE7","1961",9.30408048601329
"DE8","1961",9.25094820563173
"DE9","1961",9.38523400931235
"DEA","1961",10.1672499236723
"DEB","1961",9.47409387190499
"DEC","1961",10.0223787646671
"DED","1961",9.11195389313416
"DEE","1961",9.56959534670086
"DEF","1961",9.1805517931572
"DEG","1961",8.81918860944968
"DK01","1961",8.76026575751423
"DK02","1961",8.98252448437055
"DK03","1961",8.60209864305843
"DK04","1961",8.36819880353644
"DK05","1961",8.25792558138638
"EE","1961",6.33085208355767
"EL30","1961",17.1456989729276
"EL41","1961",16.5067203993438
"EL42","1961",0
"EL43","1961",14.7101999169985
"EL51","1961",12.9822169409462
"EL52","1961",15.3928819757458
"EL53","1961",12.4324629048035
"EL54","1961",14.381741595601
"EL61","1961",14.696768643533
"EL62","1961",17.566666841507
"EL63","1961",15.4818816738103
"EL64","1961",15.261749500135
"EL65","1961",15.8815506081874
"ES11","1961",12.4550576597574
"ES12","1961",10.9358187293449
"ES13","1961",11.6350966794702
"ES21","1961",12.6972942052928
"ES22","1961",13.0772727550782
"ES23","1961",10.7386784789933
"ES24","1961",13.6667408242353
"ES30","1961",14.9250141590007
"ES41","1961",11.8351810019145
"ES42","1961",14.2580040648296
"ES43","1961",16.3060189278846
"ES51","1961",13.8837239258336
"ES52","1961",15.1543779249107
"ES53","1961",14.2500000794729
"ES61","1961",16.7891808173418
"ES62","1961",15.3455618351672
"ES70","1961",15.9678571262057
"FI19","1961",4.81785190288881
"FI1B","1961",5.55305557079613
"FI1C","1961",5.23142030624268
"FI1D","1961",3.54157347603839
"FI20","1961",7.0583332988663
"FR10","1961",11.3260988735017
"FR21","1961",10.8896632496631
"FR22","1961",10.7332153865283
"FR23","1961",10.6246075596789
"FR24","1961",11.6653169953416
"FR25","1961",10.9756014712631
"FR26","1961",11.2537016968648
"FR30","1961",10.4811728353854
"FR41","1961",10.0943825857837
"FR42","1961",10.3511430418454
"FR43","1961",10.2036003767953
"FR51","1961",12.0502493846613
"FR52","1961",11.550440285887
"FR53","1961",12.4531826659176
"FR61","1961",12.95823346261
"FR62","1961",12.5320822159835
"FR63","1961",11.1894062865905
"FR71","1961",11.2653485216024
"FR72","1961",10.3281386439055
"FR81","1961",13.7217547407147
"FR82","1961",11.8791428507935
"FR83","1961",14.1500000192059
"HR03","1961",12.1428843246067
"HR04","1961",11.5746171359305
"HU1","1961",11.0155000303582
"HU21","1961",11.116203073562
"HU22","1961",10.7067993099818
"HU23","1961",12.0280965478552
"HU31","1961",10.426547557837
"HU32","1961",10.7209026052445
"HU33","1961",11.5293864906388
"IE01","1961",9.36272478725241
"IE02","1961",9.38206687723858
"ITC1","1961",11.9579296364678
"ITC2","1961",4.3056043369529
"ITC3","1961",11.4036232879304
"ITC4","1961",12.5669753123472
"ITF1","1961",12.1993869252546
"ITF2","1961",13.2009713277266
"ITF3","1961",13.8237866053542
"ITF4","1961",14.914818104444
"ITF5","1961",13.8880021359517
"ITF6","1961",16.7194566006246
"ITG1","1961",15.7136011446615
"ITG2","1961",15.2821944031466
"ITH3","1961",13.1119123765826
"ITH4","1961",11.3128234580685
"ITI1","1961",14.5072585663724
"ITI2","1961",13.90008238685
"ITI4","1961",14.1424196176904
"LT","1961",7.25421065841059
"LU","1961",9.15491516708198
"LV","1961",6.68454129890445
"MT","1961",0
"NL11","1961",9.45996061684257
"NL12","1961",9.55595605623318
"NL13","1961",9.55349016657299
"NL21","1961",9.92470840437825
"NL22","1961",10.4441030409096
"NL23","1961",10.0162717670206
"NL31","1961",10.160426995535
"NL32","1961",10.0724342284666
"NL33","1961",10.2927799783898
"NL34","1961",11.0685457981685
"NL41","1961",10.4962426410977
"NL42","1961",10.7888889392505
"PL11","1961",8.81691326579516
"PL12","1961",8.65034337410212
"PL21","1961",7.73633337438754
"PL22","1961",8.35232611690406
"PL31","1961",8.37522601943814
"PL32","1961",8.439097372735
"PL33","1961",8.42717254076589
"PL34","1961",7.72820442774801
"PL41","1961",8.72613810895034
"PL42","1961",8.69995197766853
"PL43","1961",9.2208451936897
"PL51","1961",8.00584513264625
"PL52","1961",8.52767427859485
"PL61","1961",8.74575013098217
"PL62","1961",7.98356119863214
"PL63","1961",8.54005747156154
"PT11","1961",13.8880052852958
